通知人,标题,日期,详情链接,附件名,附件下载次数,附件链接码
【计划科】,关于核对2025-2026学年第二学期通识教育选修课开课信息的有关通知,2026-01-19,https://jwch.fzu.edu.cn/info/1038/14502.htm,无附件,0,无
【综合科】,关于召开2025-2026学年秋季学期期末本科教育教学工作会议的通知,2026-01-16,https://jwch.fzu.edu.cn/info/1035/14501.htm,无附件,0,无
【实践科】,关于举办第十六届全国大学生电子商务“创新、创意及创业”挑战赛福州大学校赛的通知,2026-01-15,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14498,无附件,0,无
【教学运行】,关于2026年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课程教室安排的通知,2026-01-15,https://jwch.fzu.edu.cn/info/1036/14497.htm,2026年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课安排.xlsx,968,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761697
【教材中心】,关于开展普通高等教育本科国家级规划教材推荐工作的通知,2026-01-14,https://jwch.fzu.edu.cn/info/1042/14494.htm,附件1.“十四五”普通高等教育本科国家级规划教材申报书.docx; 附件2.“十四五”普通高等教育本科国家级规划教材推荐汇总表.xls; 附件3.教材编写人员政治审查表.docx; 附件4.图书编校质量自查结果记录表.docx; 附件5.专家审查意见表.docx,298; 315; 297; 274; 288,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16762110; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16762111; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16762112; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16762113; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16762114
【教学运行】,关于2025-2026学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试安排的通知,2026-01-13,https://jwch.fzu.edu.cn/info/1036/14493.htm,2501高等数学A（上）、B（上）期末考-1.30上午.xlsx; 2501高等数学C（上）、D期末考-1.30下午.xlsx,621; 498,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761506; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761466
【教学运行】,关于2025-2026学年第一学期《大学物理A（下）》和《大学物理B（下）》课程期末考试安排的通知,2026-01-13,https://jwch.fzu.edu.cn/info/1036/14492.htm,2501大学物理A（下）、B（下）期末考-1.29上午.xlsx,468,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761453
【教学运行】,关于2025-2026学年第一学期《工程制图C（上）》、《工程制图D》和《工程制图F》课程期末考试安排的通知,2026-01-13,https://jwch.fzu.edu.cn/info/1036/14491.htm,2501制图C（上）、D、F期末考-1.27下午.xlsx,388,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761392
【教学运行】,关于2025-2026学年第一学期《大学英语（二）》课程期末考试安排的通知,2026-01-13,https://jwch.fzu.edu.cn/info/1036/14490.htm,2501英语（二）期末考-1.25上、下午.xlsx,480,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761388
【教学运行】,关于2025-2026学年第一学期《大学英语（一）》和《大学英语（三）》课程期末考试安排的通知,2026-01-13,https://jwch.fzu.edu.cn/info/1036/14489.htm,2501英语（一）、（三）期末考-1.24上午.xlsx,343,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761618
